date,number
2013-01-01,4
2013-01-02,4
2013-01-03,4
2013-01-04,4
2013-01-05,4
2013-01-06,4
2013-01-07,4
2013-01-08,4
2013-01-09,4
2013-01-10,4
2013-01-11,4
2013-01-12,4
2013-01-13,16
2013-01-14,16
2013-01-15,16
2013-01-16,16
2013-01-17,16
2013-01-18,16
2013-01-19,16
2013-01-20,100
2013-01-21,100
2013-01-22,100
2013-01-23,100
2013-01-24,100
2013-01-25,100
2013-01-26,100
2013-01-27,75
2013-01-28,75
2013-01-29,75
2013-01-30,75
2013-01-31,75
2013-02-01,75
2013-02-02,75
2013-02-03,4
2013-02-04,4
2013-02-05,4
2013-02-06,4
2013-02-07,4
2013-02-08,4
2013-02-09,4
2013-02-10,30
2013-02-11,30
2013-02-12,30
2013-02-13,30
2013-02-14,30
2013-02-15,30
2013-02-16,30
2013-02-17,4
2013-02-18,4
2013-02-19,4
2013-02-20,4
2013-02-21,4
2013-02-22,4
2013-02-23,4
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,4
2013-03-04,4
2013-03-05,4
2013-03-06,4
2013-03-07,4
2013-03-08,4
2013-03-09,4
2013-03-10,6
2013-03-11,6
2013-03-12,6
2013-03-13,6
2013-03-14,6
2013-03-15,6
2013-03-16,6
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,2
2013-03-25,2
2013-03-26,2
2013-03-27,2
2013-03-28,2
2013-03-29,2
2013-03-30,2
2013-03-31,2
2013-04-01,2
2013-04-02,2
2013-04-03,2
2013-04-04,2
2013-04-05,2
2013-04-06,2
2013-04-07,4
2013-04-08,4
2013-04-09,4
2013-04-10,4
2013-04-11,4
2013-04-12,4
2013-04-13,4
2013-04-14,4
2013-04-15,4
2013-04-16,4
2013-04-17,4
2013-04-18,4
2013-04-19,4
2013-04-20,4
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,4
2013-04-29,4
2013-04-30,4
2013-05-01,4
2013-05-02,4
2013-05-03,4
2013-05-04,4
2013-05-05,2
2013-05-06,2
2013-05-07,2
2013-05-08,2
2013-05-09,2
2013-05-10,2
2013-05-11,2
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,4
2013-05-27,4
2013-05-28,4
2013-05-29,4
2013-05-30,4
2013-05-31,4
2013-06-01,4
2013-06-02,0
2013-06-03,0
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,4
2013-06-24,4
2013-06-25,4
2013-06-26,4
2013-06-27,4
2013-06-28,4
2013-06-29,4
2013-06-30,4
2013-07-01,4
2013-07-02,4
2013-07-03,4
2013-07-04,4
2013-07-05,4
2013-07-06,4
2013-07-07,4
2013-07-08,4
2013-07-09,4
2013-07-10,4
2013-07-11,4
2013-07-12,4
2013-07-13,4
2013-07-14,60
2013-07-15,60
2013-07-16,60
2013-07-17,60
2013-07-18,60
2013-07-19,60
2013-07-20,60
2013-07-21,9
2013-07-22,9
2013-07-23,9
2013-07-24,9
2013-07-25,9
2013-07-26,9
2013-07-27,9
2013-07-28,3
2013-07-29,3
2013-07-30,3
2013-07-31,3
2013-08-01,3
2013-08-02,3
2013-08-03,3
2013-08-04,3
2013-08-05,3
2013-08-06,3
2013-08-07,3
2013-08-08,3
2013-08-09,3
2013-08-10,3
2013-08-11,4
2013-08-12,4
2013-08-13,4
2013-08-14,4
2013-08-15,4
2013-08-16,4
2013-08-17,4
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,2
2013-09-02,2
2013-09-03,2
2013-09-04,2
2013-09-05,2
2013-09-06,2
2013-09-07,2
2013-09-08,2
2013-09-09,2
2013-09-10,2
2013-09-11,2
2013-09-12,2
2013-09-13,2
2013-09-14,2
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,2
2013-09-23,2
2013-09-24,2
2013-09-25,2
2013-09-26,2
2013-09-27,2
2013-09-28,2
2013-09-29,3
2013-09-30,3
2013-10-01,3
2013-10-02,3
2013-10-03,3
2013-10-04,3
2013-10-05,3
2013-10-06,2
2013-10-07,2
2013-10-08,2
2013-10-09,2
2013-10-10,2
2013-10-11,2
2013-10-12,2
2013-10-13,2
2013-10-14,2
2013-10-15,2
2013-10-16,2
2013-10-17,2
2013-10-18,2
2013-10-19,2
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,2
2013-10-28,2
2013-10-29,2
2013-10-30,2
2013-10-31,2
2013-11-01,2
2013-11-02,2
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,0
2013-11-24,3
2013-11-25,3
2013-11-26,3
2013-11-27,3
2013-11-28,3
2013-11-29,3
2013-11-30,3
2013-12-01,3
2013-12-02,3
2013-12-03,3
2013-12-04,3
2013-12-05,3
2013-12-06,3
2013-12-07,3
2013-12-08,2
2013-12-09,2
2013-12-10,2
2013-12-11,2
2013-12-12,2
2013-12-13,2
2013-12-14,2
2013-12-15,5
2013-12-16,5
2013-12-17,5
2013-12-18,5
2013-12-19,5
2013-12-20,5
2013-12-21,5
2013-12-22,2
2013-12-23,2
2013-12-24,2
2013-12-25,2
2013-12-26,2
2013-12-27,2
2013-12-28,2
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,14
2014-01-13,14
2014-01-14,14
2014-01-15,14
2014-01-16,14
2014-01-17,14
2014-01-18,14
2014-01-19,14
2014-01-20,14
2014-01-21,14
2014-01-22,14
2014-01-23,14
2014-01-24,14
2014-01-25,14
2014-01-26,39
2014-01-27,39
2014-01-28,39
2014-01-29,39
2014-01-30,39
2014-01-31,39
2014-02-01,39
2014-02-02,14
2014-02-03,14
2014-02-04,14
2014-02-05,14
2014-02-06,14
2014-02-07,14
2014-02-08,14
2014-02-09,28
2014-02-10,28
2014-02-11,28
2014-02-12,28
2014-02-13,28
2014-02-14,28
2014-02-15,28
2014-02-16,28
2014-02-17,28
2014-02-18,28
2014-02-19,28
2014-02-20,28
2014-02-21,28
2014-02-22,28
2014-02-23,14
2014-02-24,14
2014-02-25,14
2014-02-26,14
2014-02-27,14
2014-02-28,14
2014-03-01,14
2014-03-02,15
2014-03-03,15
2014-03-04,15
2014-03-05,15
2014-03-06,15
2014-03-07,15
2014-03-08,15
2014-03-09,14
2014-03-10,14
2014-03-11,14
2014-03-12,14
2014-03-13,14
2014-03-14,14
2014-03-15,14
2014-03-16,14
2014-03-17,14
2014-03-18,14
2014-03-19,14
2014-03-20,14
2014-03-21,14
2014-03-22,14
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,0
2014-03-29,0
2014-03-30,22
2014-03-31,22
2014-04-01,22
2014-04-02,22
2014-04-03,22
2014-04-04,22
2014-04-05,22
2014-04-06,21
2014-04-07,21
2014-04-08,21
2014-04-09,21
2014-04-10,21
2014-04-11,21
2014-04-12,21
2014-04-13,0
2014-04-14,0
2014-04-15,0
2014-04-16,0
2014-04-17,0
2014-04-18,0
2014-04-19,0
2014-04-20,35
2014-04-21,35
2014-04-22,35
2014-04-23,35
2014-04-24,35
2014-04-25,35
2014-04-26,35
2014-04-27,28
2014-04-28,28
2014-04-29,28
2014-04-30,28
2014-05-01,28
2014-05-02,28
2014-05-03,28
2014-05-04,28
2014-05-05,28
2014-05-06,28
2014-05-07,28
2014-05-08,28
2014-05-09,28
2014-05-10,28
2014-05-11,14
2014-05-12,14
2014-05-13,14
2014-05-14,14
2014-05-15,14
2014-05-16,14
2014-05-17,14
2014-05-18,15
2014-05-19,15
2014-05-20,15
2014-05-21,15
2014-05-22,15
2014-05-23,15
2014-05-24,15
2014-05-25,15
2014-05-26,15
2014-05-27,15
2014-05-28,15
2014-05-29,15
2014-05-30,15
2014-05-31,15
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,15
2014-06-09,15
2014-06-10,15
2014-06-11,15
2014-06-12,15
2014-06-13,15
2014-06-14,15
2014-06-15,60
2014-06-16,60
2014-06-17,60
2014-06-18,60
2014-06-19,60
2014-06-20,60
2014-06-21,60
2014-06-22,23
2014-06-23,23
2014-06-24,23
2014-06-25,23
2014-06-26,23
2014-06-27,23
2014-06-28,23
2014-06-29,15
2014-06-30,15
2014-07-01,15
2014-07-02,15
2014-07-03,15
2014-07-04,15
2014-07-05,15
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,15
2014-07-14,15
2014-07-15,15
2014-07-16,15
2014-07-17,15
2014-07-18,15
2014-07-19,15
2014-07-20,15
2014-07-21,15
2014-07-22,15
2014-07-23,15
2014-07-24,15
2014-07-25,15
2014-07-26,15
2014-07-27,36
2014-07-28,36
2014-07-29,36
2014-07-30,36
2014-07-31,36
2014-08-01,36
2014-08-02,36
2014-08-03,30
2014-08-04,30
2014-08-05,30
2014-08-06,30
2014-08-07,30
2014-08-08,30
2014-08-09,30
2014-08-10,58
2014-08-11,58
2014-08-12,58
2014-08-13,58
2014-08-14,58
2014-08-15,58
2014-08-16,58
2014-08-17,22
2014-08-18,22
2014-08-19,22
2014-08-20,22
2014-08-21,22
2014-08-22,22
2014-08-23,22
2014-08-24,15
2014-08-25,15
2014-08-26,15
2014-08-27,15
2014-08-28,15
2014-08-29,15
2014-08-30,15
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,15
2014-09-08,15
2014-09-09,15
2014-09-10,15
2014-09-11,15
2014-09-12,15
2014-09-13,15
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,14
2014-09-22,14
2014-09-23,14
2014-09-24,14
2014-09-25,14
2014-09-26,14
2014-09-27,14
2014-09-28,14
2014-09-29,14
2014-09-30,14
2014-10-01,14
2014-10-02,14
2014-10-03,14
2014-10-04,14
2014-10-05,28
2014-10-06,28
2014-10-07,28
2014-10-08,28
2014-10-09,28
2014-10-10,28
2014-10-11,28
2014-10-12,43
2014-10-13,43
2014-10-14,43
2014-10-15,43
2014-10-16,43
2014-10-17,43
2014-10-18,43
2014-10-19,21
2014-10-20,21
2014-10-21,21
2014-10-22,21
2014-10-23,21
2014-10-24,21
2014-10-25,21
2014-10-26,43
2014-10-27,43
2014-10-28,43
2014-10-29,43
2014-10-30,43
2014-10-31,43
2014-11-01,43
2014-11-02,49
2014-11-03,49
2014-11-04,49
2014-11-05,49
2014-11-06,49
2014-11-07,49
2014-11-08,49
2014-11-09,48
2014-11-10,48
2014-11-11,48
2014-11-12,48
2014-11-13,48
2014-11-14,48
2014-11-15,48
2014-11-16,70
2014-11-17,70
2014-11-18,70
2014-11-19,70
2014-11-20,70
2014-11-21,70
2014-11-22,70
2014-11-23,67
2014-11-24,67
2014-11-25,67
2014-11-26,67
2014-11-27,67
2014-11-28,67
2014-11-29,67
2014-11-30,34
2014-12-01,34
2014-12-02,34
2014-12-03,34
2014-12-04,34
2014-12-05,34
2014-12-06,34
2014-12-07,27
2014-12-08,27
2014-12-09,27
2014-12-10,27
2014-12-11,27
2014-12-12,27
2014-12-13,27
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-20,0
2014-12-21,100
2014-12-22,100
2014-12-23,100
2014-12-24,100
2014-12-25,100
2014-12-26,100
2014-12-27,100
2014-12-28,69
2014-12-29,69
2014-12-30,69
2014-12-31,69
2015-01-01,69
2015-01-02,69
2015-01-03,69
2015-01-04,1
2015-01-05,1
2015-01-06,1
2015-01-07,1
2015-01-08,1
2015-01-09,1
2015-01-10,1
2015-01-11,1
2015-01-12,1
2015-01-13,1
2015-01-14,1
2015-01-15,1
2015-01-16,1
2015-01-17,1
2015-01-18,5
2015-01-19,5
2015-01-20,5
2015-01-21,5
2015-01-22,5
2015-01-23,5
2015-01-24,5
2015-01-25,3
