date,number,product
2013-01-01,22,양파
2013-01-02,22,양파
2013-01-03,22,양파
2013-01-04,22,양파
2013-01-05,22,양파
2013-01-06,22,양파
2013-01-07,22,양파
2013-01-08,22,양파
2013-01-09,22,양파
2013-01-10,22,양파
2013-01-11,22,양파
2013-01-12,22,양파
2013-01-13,24,양파
2013-01-14,24,양파
2013-01-15,24,양파
2013-01-16,24,양파
2013-01-17,24,양파
2013-01-18,24,양파
2013-01-19,24,양파
2013-01-20,22,양파
2013-01-21,22,양파
2013-01-22,22,양파
2013-01-23,22,양파
2013-01-24,22,양파
2013-01-25,22,양파
2013-01-26,22,양파
2013-01-27,31,양파
2013-01-28,31,양파
2013-01-29,31,양파
2013-01-30,31,양파
2013-01-31,31,양파
2013-02-01,31,양파
2013-02-02,31,양파
2013-02-03,20,양파
2013-02-04,20,양파
2013-02-05,20,양파
2013-02-06,20,양파
2013-02-07,20,양파
2013-02-08,20,양파
2013-02-09,20,양파
2013-02-10,21,양파
2013-02-11,21,양파
2013-02-12,21,양파
2013-02-13,21,양파
2013-02-14,21,양파
2013-02-15,21,양파
2013-02-16,21,양파
2013-02-17,27,양파
2013-02-18,27,양파
2013-02-19,27,양파
2013-02-20,27,양파
2013-02-21,27,양파
2013-02-22,27,양파
2013-02-23,27,양파
2013-02-24,24,양파
2013-02-25,24,양파
2013-02-26,24,양파
2013-02-27,24,양파
2013-02-28,24,양파
2013-03-01,24,양파
2013-03-02,24,양파
2013-03-03,28,양파
2013-03-04,28,양파
2013-03-05,28,양파
2013-03-06,28,양파
2013-03-07,28,양파
2013-03-08,28,양파
2013-03-09,28,양파
2013-03-10,15,양파
2013-03-11,15,양파
2013-03-12,15,양파
2013-03-13,15,양파
2013-03-14,15,양파
2013-03-15,15,양파
2013-03-16,15,양파
2013-03-17,25,양파
2013-03-18,25,양파
2013-03-19,25,양파
2013-03-20,25,양파
2013-03-21,25,양파
2013-03-22,25,양파
2013-03-23,25,양파
2013-03-24,23,양파
